user_pseudo_id,event_name,event_label,page_duration_value,event_timestamp,event_date,version,event_option
1133122308.1745453,button_click,Subscribe for Updates,1.0,1745453164907340,20250423,A,
1143961134.1745405,first_visit,,,1745406245129019,20250423,A,
1143961134.1745405,session_start,,,1745406245129019,20250423,A,
1143961134.1745405,page_view,,,1745406245129019,20250423,A,
1143961134.1745405,scroll,,,1745406250013083,20250423,A,
1143961134.1745405,option_selected,Mint Chocolate Green,1.0,1745406261765568,20250423,A,color_selected
1143961134.1745405,option_selected,medium,1.0,1745406269019932,20250423,A,size
1143961134.1745405,option_selected,warranty,1.0,1745406269019932,20250423,A,additional_features
1143961134.1745405,option_selected,fast,1.0,1745406278648480,20250423,A,charging_option
1143961134.1745405,option_selected,premium_bundle,1.0,1745406278648480,20250423,A,accessories_option
1143961134.1745405,option_selected,none,1.0,1745406278648480,20250423,A,accessories_option
1143961134.1745405,option_selected,health,1.0,1745406291747485,20250423,A,main_reason
1143961134.1745405,option_selected,200_299,1.0,1745406291747485,20250423,A,price_range
1143961134.1745405,option_selected,300_plus,1.0,1745406291747485,20250423,A,price_range
1143961134.1745405,button_click,Submit Preferences,1.0,1745406305762827,20250423,A,
1143961134.1745405,page_duration,version_a,76.0,1745406320610491,20250423,A,
1143961134.1745405,page_view,,,1745406321280149,20250423,A,
1143961134.1745405,scroll,,,1745406326292550,20250423,A,
1177121207.1745386,first_visit,,,1745386753220391,20250422,A,
1177121207.1745386,session_start,,,1745386753220391,20250422,A,
1177121207.1745386,page_view,,,1745386753220391,20250422,A,
1177121207.1745386,scroll,,,1745386758235626,20250422,A,
1187868958.174543,first_visit,,,1745427448872292,20250423,A,
1187868958.174543,session_start,,,1745427448872292,20250423,A,
1187868958.174543,page_view,,,1745427448872292,20250423,A,
1187868958.174543,scroll,,,1745427453298620,20250423,A,
1187868958.174543,page_duration,version_a,7.0,1745427454575132,20250423,A,
1215106308.1745405,first_visit,,,1745406276754760,20250423,A,
1215106308.1745405,session_start,,,1745406276754760,20250423,A,
1215106308.1745405,page_view,,,1745406276754760,20250423,A,
1215106308.1745405,scroll,,,1745406282000454,20250423,A,
1215106308.1745405,page_view,,,1745406360321157,20250423,A,
1215106308.1745405,scroll,,,1745406365258175,20250423,A,
1215106308.1745405,option_selected,Mint Chocolate Green,1.0,1745406371677423,20250423,A,color_selected
1215106308.1745405,option_selected,leather,1.0,1745406378235244,20250423,A,band_material
1215106308.1745405,option_selected,medium,1.0,1745406378235244,20250423,A,size
1215106308.1745405,option_selected,premium,1.0,1745406386707430,20250423,A,additional_features
1215106308.1745405,button_click,Submit Preferences,1.0,1745406410570533,20250423,A,
1215106308.1745405,user_engagement,,,1745406419033844,20250423,A,
1215106308.1745405,page_duration,version_a,59.0,1745406419093225,20250423,A,
1215106308.1745405,page_view,,,1745406420703886,20250423,A,
1215106308.1745405,scroll,,,1745406425707217,20250423,A,
1215106308.1745405,page_view,,,1745406501001292,20250423,A,
1215106308.1745405,scroll,,,1745406501111426,20250423,A,
1216248715.1745324,first_visit,,,1745324108261977,20250422,A,
1216248715.1745324,session_start,,,1745324108261977,20250422,A,
1216248715.1745324,page_view,,,1745324108261977,20250422,A,
1216248715.1745324,scroll,,,1745324113153396,20250422,A,
1216248715.1745324,option_selected,cellular,1.0,1745324128736730,20250422,A,additional_features
1216248715.1745324,option_selected,wireless,1.0,1745324134567694,20250422,A,charging_option
1216248715.1745324,option_selected,fast,1.0,1745324134567694,20250422,A,charging_option
1216248715.1745324,option_selected,no,1.0,1745324152732375,20250422,A,own_smartwatch
1216248715.1745324,option_selected,health,1.0,1745324152732375,20250422,A,main_reason
1216248715.1745324,option_selected,100_199,1.0,1745324160745677,20250422,A,price_range
1216248715.1745324,button_click,Submit Preferences,1.0,1745324172952389,20250422,A,
1216248715.1745324,option_selected,Black Sesame,1.0,1745324181012257,20250422,A,color_selected
1216248715.1745324,option_selected,Cotton Candy Pink,1.0,1745324181012257,20250422,A,color_selected
1216248715.1745324,button_click,Submit Preferences,1.0,1745324186968914,20250422,A,
1216248715.1745324,page_duration,version_a,79.0,1745324186994456,20250422,A,
1216248715.1745324,page_view,,,1745324187352174,20250422,A,
1216248715.1745324,scroll,,,1745324192373888,20250422,A,
1216248715.1745324,page_duration,version_a,8.0,1745324293786308,20250422,A,
1216248715.1745324,page_view,,,1745324674178861,20250422,A,
1216248715.1745324,scroll,,,1745324680302449,20250422,A,
1216248715.1745324,user_engagement,,,1745324685143484,20250422,A,
1216248715.1745324,page_duration,version_a,12.0,1745324685145311,20250422,A,
1229642951.174538,first_visit,,,1745379122242402,20250422,A,
1229642951.174538,session_start,,,1745379122242402,20250422,A,
1229642951.174538,page_view,,,1745379122242402,20250422,A,
1229642951.174538,scroll,,,1745379127131131,20250422,A,
1229642951.174538,button_click,Subscribe for Updates,1.0,1745379152748380,20250422,A,
1229642951.174538,option_selected,Mint Chocolate Green,1.0,1745379164108361,20250422,A,color_selected
1229642951.174538,option_selected,Mint Chocolate Green,1.0,1745379164108361,20250422,A,color_selected
1229642951.174538,page_duration,version_a,50.0,1745379171645437,20250422,A,
1237230127.1745403,first_visit,,,1745404206030572,20250423,A,
1237230127.1745403,session_start,,,1745404206030572,20250423,A,
1237230127.1745403,page_view,,,1745404206030572,20250423,A,
1237230127.1745403,scroll,,,1745404210962501,20250423,A,
1237230127.1745403,page_duration,version_a,47.0,1745404257672525,20250423,A,
1237230127.1745403,page_duration,version_a,1191.0,1745405401713125,20250423,A,
1237230127.1745403,session_start,,,1745407932980378,20250423,A,
